Tilenum, RMS
26663, 1.5898
10280, 0.1690
18473, 0.4037
10282, 0.1375
18475, 0.2804
26668, 2.1357
10286, 0.3371
10287, 0.1307
10288, 0.4904
10289, 0.3940
10292, 0.1840
10293, 0.2213
10294, 0.3189
23561, 0.8500
30388, 0.4573
10299, 0.2353
10300, 0.1497
15370, 0.2590
10302, 0.1464
10303, 0.4951
26688, 1.5573
23563, 0.2633
10312, 0.3541
10314, 0.2310
15617, 1.0639
26705, 0.2964
26707, 0.2178
38858, 0.2231
34905, 0.2064
34907, 0.4200
18524, 0.1310
18525, 0.2949
10334, 0.1255
10335, 0.1732
31002, 0.7071
10340, 0.2114
10341, 0.1808
10342, 0.2115
10343, 0.2938
10344, 0.3340
10345, 0.2661
2154, 0.4185
2155, 0.4220
10348, 0.2557
10350, 0.3342
10351, 0.1756
18546, 0.1478
26302, 0.1061
361, 0.1127
18552, 0.2766
2170, 0.1640
10363, 0.2930
10368, 0.2255
10369, 0.3718
10370, 0.1701
10372, 0.1360
18566, 0.1359
10376, 0.5299
10377, 0.1826
10380, 0.1445
10382, 0.2967
10385, 0.4193
10386, 0.2511
10387, 0.2219
10388, 0.2142
10389, 0.1544
10391, 0.3443
10392, 0.1946
10393, 0.2524
17804, 0.1902
10397, 0.2423
10400, 0.3565
26785, 0.1976
23579, 3.0401
10404, 0.3346
10405, 0.2824
10407, 0.2375
18603, 0.1270
10413, 0.1185
10415, 0.3856
2225, 0.7231
10418, 0.2952
2227, 0.2307
2228, 0.4303
10421, 0.1688
2230, 0.2180
10423, 0.2869
17805, 0.2084
10426, 0.2800
23583, 0.9164
18622, 0.2728
18623, 0.4407
2240, 0.3189
2241, 0.4311
10434, 0.3885
10435, 0.2955
10436, 0.0968
10437, 0.1919
10438, 0.1726
10439, 0.3763
10440, 0.4033
10442, 0.2635
10443, 0.1816
10444, 0.2398
10445, 0.2991
10446, 0.2351
10447, 0.5676
10448, 0.2654
10449, 0.1720
10450, 0.3929
10451, 0.1629
18644, 0.1439
22222, 0.3422
10454, 0.1463
10456, 0.2890
10458, 0.2775
22223, 0.3810
12666, 0.2001
10464, 0.4625
10465, 0.2724
10466, 0.2693
10467, 0.4530
10468, 0.1938
30417, 0.5118
2282, 0.3246
10475, 0.1857
38859, 0.3331
23808, 1.1929
30419, 0.6668
18680, 0.1247
18681, 0.1186
2301, 0.1937
39903, 0.3993
26892, 0.1644
2317, 0.1472
26894, 0.2383
18703, 0.1426
2320, 0.1313
10513, 0.2814
10514, 0.4692
10515, 0.1764
10516, 0.2648
10517, 0.2388
10518, 0.1973
30425, 1.2179
18713, 0.1372
18716, 0.1346
22234, 0.4151
10526, 0.2074
10527, 0.1397
2340, 0.1578
23601, 2.7312
30428, 0.6357
23810, 0.8679
18736, 0.1215
10548, 0.3159
30358, 0.2901
43877, 0.1760
23604, 0.9676
18746, 0.0996
18747, 0.1499
19509, 0.1126
18753, 0.5389
2370, 0.1698
26950, 0.2396
2376, 0.1702
18762, 0.1428
26956, 0.2602
26957, 0.3384
18766, 0.1555
18767, 0.1823
26961, 0.2585
26962, 0.2508
26963, 0.3025
26964, 0.1339
26966, 0.3514
23609, 0.4038
26968, 0.2092
22244, 0.3495
18778, 0.1997
18779, 0.3567
26973, 0.4632
22245, 0.4210
18784, 0.1418
15419, 1.7131
26980, 0.2468
22246, 0.2567
26983, 0.3254
18794, 0.1499
18795, 0.2753
30359, 0.2223
10605, 0.2587
27904, 0.2190
